bayna/1a/01/0	(определённый артикль).	اَلْـ...
bayna/2b/14/58	бедный, несчастный; бесстыдный; негодяй, злодей	شَقِىٌّ / أَشْقِيَاءُ
bayna/2b/14/59	стая, рой, стадо; толпа; душа, сердце	سِرْبٌ / أَسْرَابٌ
bayna/2b/14/60	(он) со спокойной душой	آمِنٌ فِي سِرْبِهِ
bayna/2b/14/61	здоровый; освобожденный	مُعَافًى
bayna/2b/14/62	продукт питания, пища, корм	قُوتٌ / أَقْوَاتٌ
bayna/2b/14/63	дневное пропитание, хлеб насущный	قُوتُ اليَوْمِ
bayna/2b/14/64	как будто	كَأَنَّ
bayna/2b/14/65	владеть, овладевать; получать	حَازَ - يَحُوزُ
bayna/2b/14/66	сторона	حِذْفَارٌ / حَذَافِيرُ
bayna/2b/14/67	как будто дан ему весь мир (целиком)	كَأَنَّ حِيزَتْ لَهُ الدُّنْيَا بِحَذَافِيرِهَا
bayna/2b/14/68	неподвижность; стабильность, устойчивость	إِسْتِقْرَارٌ
bayna/2b/14/69	быть живым, подвижным, веселым, активным; оживляться	نَشِطَ - يَنْشَطُ
bayna/2b/14/70	совершение, производство; операция; действие, процесс	عَمَلِيَّةٌ
bayna/2b/14/71	процесс развития	عَمَلِيَّةُ التَّنْمِيَةِ
bayna/2b/14/72	отлучать, отрешать; надевать ихрам IV	أَحْرَمَ - يُحْرِمُ
bayna/2b/14/73	останавливаться; основываться, зависеть (على); прекращать, отказываться (عن) V	تَوَقَّفَ - يَتَوَقَّفُ
bayna/2b/14/74	эк. предприятие	مَشَارِيعُ
bayna/2b/14/75	сила, мощность, энергия; выносливость, терпение; способность	طَاقَةٌ
bayna/2b/14/76	богатство, зажиточность	غِنًى
bayna/2b/14/77	оружие; род войск, силы; вооружение	سِلاَحٌ / أَسْلِحَةٌ
bayna/2b/15/11	закапывать, зарывать; погребать	دَفَنَ - يَدْفِنُ
bayna/2b/15/12	закапывание, зарывание; погребение, сокрытие	دَفْنٌ
bayna/2b/15/13	больной, раненый, пострадавший; жертва	مُصَابٌ / مُصَابُونَ
bayna/2b/15/14	изумлять, смущать; ставить в тупик II	حَيَّرَ - يُحَيِّرُ
bayna/2b/15/15	упоминать, называть, приводить; восхвалять, прославлять (Аллаhа)	ذَكَرَ - يَذْكُرُ
bayna/2b/15/16	погребенный; закопанный, зарытый; скрытый	مَدْفُونٌ = دَفِينٌ
bayna/2b/15/17	изготовлять; доставлять, привозить IV	أَحْضَرَ - يُحْضِرُ
bayna/2b/15/18	(он был) привезен	أُحْضِرَ
bayna/2b/15/19	промышленный, индустриальный; искусственный, синтетический	صِنَاعِىٌّ
bayna/2b/15/20	да, конечно (в ответ на вопрос с отрицанием)	بَلَى
bayna/2b/15/21	загрязнение окружающей среды	تَلَوُّثُ البِيئَةِ
bayna/2b/15/22	загрязнение атмосферы (воздуха)	تَلَوُّثُ الهَوَاءِ
bayna/2b/15/23	загрязнение почвы	تَلَوُّثُ التُّرْبَةِ
bayna/2b/15/24	земля, почва, грунт; могила	تُرْبَةٌ / تُرَبٌ
bayna/2b/15/25	воспаление глаз	اِلْتِهَابُ العُيُونِ
bayna/2b/15/26	растение; трава, растительность	نَبَاتٌ / نَبَاتَاتٌ
bayna/2b/15/27	уменьшение	تَقْلِيلٌ
bayna/2b/15/28	сладкий, приятный; пресный, питьевой (о воде)	عَذْبٌ / عِذَابٌ
bayna/2b/15/29	химические вещества, химикаты	المَوَادُّ الكِيمِيَائِيَّةُ
bayna/2b/15/30	сточные воды	مِيَاهُ الصَّرْفِ الصِّحِّيِّ
bayna/2b/15/31	колодец; шахта	بِئْرٌ / آبَارٌ
bayna/2b/15/32	повреждать, портить, губить; расточать, много тратить IV	أَتْلَفَ - يُتْلِفُ
bayna/2b/15/33	утрата, потеря; недостаток	فَقْدٌ
bayna/2b/15/34	все необходимое; оборудование; прибор, машина; приданое (невесты); анат. система органов	جِهَازٌ / أَجْهِزَةٌ
bayna/2b/15/35	электрический; электрик	كَهْرَبَائِىٌّ
bayna/2b/15/36	электроприборы	الأَجْهِزَةُ الكَهْرَبَائِيَّةُ
bayna/2b/15/37	защищать, охранять; покровительствовать; сажать на диету	حَمَى - يَحْمِي
bayna/2b/15/38	естественно, конечно!	بِطَبْعٍ
bayna/2b/15/39	путешествие; турне; тур. поездка; рейс; спорт. раунд	جَوْلَةٌ
bayna/2b/15/40	приостановка, прекращение; отстранение; арест	إِيقَافٌ
bayna/2b/15/41	опустынивание	تَصَحُّرٌ
bayna/2b/15/42	редкий	نَادِرٌ
bayna/2b/15/43	прерываться, пресекаться; вымирать; исчезать VII	إِنْقَرَضَ - يَنْقَرِضُ
bayna/2b/15/44	пустой; свободный, незанятый	خَالٍ ж. خَالِيَةٌ
bayna/2b/15/45	сохранение; соблюдение	مُحَافَظَةٌ
bayna/2b/15/46	явность, очевидность; разъяснение; извещение; доклад, декларация	بَيَانٌ
bayna/2b/15/47	наблюдение, надзор; инспекция; контроль; цензура	مُرَاقَبَةٌ
bayna/2b/15/48	сажать, насаждать (деревья); прививать (привычки)	غَرَسَ - يَغْرِسُ
bayna/2b/15/49	посадка деревьев	غَرْسُ الأَشْجَارِ
bayna/2b/15/50	ошибка, погрешность, промах	خَطَاءٌ / أَخْطِئَةٌ
bayna/2b/15/51	сожжение лесов	إِحْرَاقُ الغَابَاتِ
bayna/2b/15/52	побег, отросток, ответвление (у пальмы)	فَسِيلَةٌ / فَسَائِلُ
bayna/2b/15/53	не быть, отсутствовать; не существовать; не иметь, не находить; быть лишенным	عَدِمَ - يَعْدَمُ
bayna/2b/15/54	отсутствие, небытие; ничто; -без, -не	عَدَمٌ
bayna/2b/15/55	критическое положение, кризис; приступ, припадок	أَزْمَةٌ / إِزَمٌ
bayna/2b/15/56	нехватка воды	أَزْمَةٌ فِي مِيَاهٍ
bayna/2b/16/11	накладная фактура; образец	فَاتُورَةٌ / فَوَاتِيرُ
bayna/2b/16/12	электричество	كَهْرَبَاءُ = كَهْرَبَائِيَّةٌ
bayna/2b/16/13	счет за электричество	فَاتُورَةُ الكَهْرَبَاءِ
bayna/2b/16/14	удваиваться, увеличиваться; осложняться (о болезни) VI	تَضَاعَفَ - يَتَضَاعَفُ
bayna/2b/16/15	бюджет; равновесие	مِيزَانِيَّةٌ
bayna/2b/16/16	освещение	إِضَاءَةٌ
bayna/2b/16/17	аппарат для смешивания; миксер	خَلاَّطَةٌ
bayna/2b/16/18	общительный, болтливый; микрофон; радио	مِذْيَاعٌ / مَذَايِيعُ
bayna/2b/16/19	электроплита	الفُرْنُ الكَهْرَبَائِيُّ
bayna/2b/16/20	метла	مِكْنَسَةٌ / مَكَانِسُ
bayna/2b/16/21	пылесос	مِكْنَسَةٌ كَهْرَبَائِيَّةٌ
bayna/2b/16/22	стиральная машина	غَسَّالَةٌ
bayna/2b/16/23	расточительство, растрата	تَبْذِيرٌ
bayna/2b/16/24	понижаться, опускаться (об уровне воды); быть низким, падать (о цене) VII	إِنْخَفَضَ - يَنْخَفِضُ
bayna/2b/16/25	ответивший; опрошенный; респондент	مُسْتَجِيبٌ
bayna/2b/16/26	опробывать, испытывать; искушать II	جَرَّبَ - يُجَرِّبُ
bayna/2b/16/27	природные богатства	الثَرَوَاتُ الطَّبِيعِيَّةُ
bayna/2b/16/28	золото	ذَهَبٌ
bayna/2b/16/29	черное золото (нефть)	الذَّهَبُ الأَسْوَدُ
bayna/2b/16/30	артерия	شِرْيَانٌ
bayna/2b/16/31	вагон (товарный); грузовой автомобиль	شَاحِنَةٌ
bayna/2b/16/32	брать на службу; применять, употреблять X	إِسْتَخْدَمَ - يَسْتَخْدِمُ
bayna/2b/16/33	горючее, топливо	وَقُودٌ
bayna/2b/16/34	ткани, текстильные товары	مَنْسُوجَاتٌ
bayna/2b/16/35	продукт; хим. препарат	مُسْتَحْضَرٌ
bayna/2b/16/36	косметические средства	مُسْتَحْضَرَاتٌ التَّجْمِيلِ
bayna/2b/16/37	чистящие средства	مُنَظِّفَاتٌ
bayna/2b/16/38	пластик, пластмасса	بَلاَسْتِيكٌ
bayna/2b/16/39	продукты производства	مُنْتَجَاتٌ
bayna/2b/16/40	замена; заменитель, дублер	بَدِيلٌ / بَدَائِلُ
bayna/2b/16/41	являться, показываться, обнаруживаться; казаться, представляться; приходить на ум	بَدَا - يَبْدُو
bayna/2b/16/42	(мне) кажется, что..	يَبْدُو أَنَّ
bayna/2b/16/43	мера предосторожности; запас, резерв	إِحْتِيَاطٌ
bayna/2b/16/44	бочка, бочонок; баррель	بِرْمِيلٌ / بَرَامِيلُ
bayna/2b/16/45	одна пятая часть (чего-либо)	خُمْسٌ / أَخْمَاسٌ
